Player ID,Player,IPL Team key,IPL Team Name
277906,KS Williamson,107,Sunrisers Hyderabad
793463,Rashid Khan,107,Sunrisers Hyderabad
25913,Mohammad Nabi,107,Sunrisers Hyderabad
1070180,PK Garg,107,Sunrisers Hyderabad
297433,JM Bairstow,107,Sunrisers Hyderabad
942645,KK Ahmed,107,Sunrisers Hyderabad
1175485,Abdul Samad,107,Sunrisers Hyderabad
326016,B Kumar,107,Sunrisers Hyderabad
732291,Basil Thampi,107,Sunrisers Hyderabad
700167,NA Saini,100,Royal Challengers Bangalore
1119026,D Padikkal,100,Royal Challengers Bangalore
940973,Mohammed Siraj,107,Sunrisers Hyderabad
253802,V Kohli,100,Royal Challengers Bangalore
714451,S Dube,106,Rajasthan Royals
432783,Sachin Baby,100,Royal Challengers Bangalore
1079434,R Parag,106,Rajasthan Royals
853265,MK Lomror,106,Rajasthan Royals
1151278,YBK Jaiswal,106,Rajasthan Royals
669855,JC Archer,106,Rajasthan Royals
272262,KW Richardson,100,Royal Challengers Bangalore
450860,AF Milne,101,Mumbai Indians
1079839,AS Roy,101,Mumbai Indians
230559,KA Pollard,101,Mumbai Indians
471342,KH Pandya,101,Mumbai Indians
625371,HH Pandya,101,Mumbai Indians
1081442,M Markande,106,Rajasthan Royals
431901,E Lewis,101,Mumbai Indians
344580,S Gopal,106,Rajasthan Royals
430246,YS Chahal,100,Royal Challengers Bangalore
308967,JC Buttler,106,Rajasthan Royals
625383,JJ Bumrah,101,Mumbai Indians
277955,DS Kulkarni,101,Mumbai Indians
720471,Ishan Kishan,101,Mumbai Indians
34102,RG Sharma,101,Mumbai Indians
446507,SA Yadav,101,Mumbai Indians
35582,RV Uthappa,102,Chennai Super Kings
723105,RK Singh,105,Kolkata Knight Riders
1070173,Shubman Gill,105,Kolkata Knight Riders
1079848,Shivam Mavi,105,Kolkata Knight Riders
592735,S Sandeep Warrier,105,Kolkata Knight Riders
604527,N Rana,105,Kolkata Knight Riders
917159,M Prasidh Krishna,105,Kolkata Knight Riders
290630,MK Pandey,107,Sunrisers Hyderabad
230558,SP Narine,105,Kolkata Knight Riders
1070188,KL Nagarkoti,105,Kolkata Knight Riders
559235,Kuldeep Yadav,105,Kolkata Knight Riders
302579,SP Goswami,107,Sunrisers Hyderabad
55395,C de Grandhomme,100,Royal Challengers Bangalore
326637,CA Lynn,101,Mumbai Indians
497121,DJ Hooda,104,Punjab Kings
532856,M Vohra,106,Rajasthan Royals
1108375,CV Varun,105,Kolkata Knight Riders
438362,Sandeep Sharma,107,Sunrisers Hyderabad
1175441,Ravi Bishnoi,104,Punjab Kings
422108,KL Rahul,104,Punjab Kings
604302,N Pooran,104,Punjab Kings
802575,T Natarajan,107,Sunrisers Hyderabad
974109,Mujeeb Ur Rahman,107,Sunrisers Hyderabad
24598,EJG Morgan,105,Kolkata Knight Riders
321777,DA Miller,106,Rajasthan Royals
398506,Mandeep Singh,104,Punjab Kings
642525,SN Khan,104,Punjab Kings
288992,CJ Jordan,104,Punjab Kings
1168641,Harpreet Brar,104,Punjab Kings
51880,CH Gayle,104,Punjab Kings
1125976,Arshdeep Singh,104,Punjab Kings
459508,AJ Tye,106,Rajasthan Royals
247235,CR Woakes,101,Mumbai Indians
550235,TK Curran,105,Kolkata Knight Riders
219889,DA Warner,107,Sunrisers Hyderabad
423838,R Tewatia,106,Rajasthan Royals
333904,AP Tare,101,Mumbai Indians
325012,MP Stoinis,103,Delhi Capitals
1070168,PP Shaw,103,Delhi Capitals
425943,SV Samson,106,Rajasthan Royals
276298,AD Russell,105,Kolkata Knight Riders
298438,JJ Roy,103,Delhi Capitals
550215,K Rabada,103,Delhi Capitals
19264,LE Plunkett,103,Delhi Capitals
554691,AR Patel,103,Delhi Capitals
931581,RR Pant,103,Delhi Capitals
481979,A Nortje,103,Delhi Capitals
31872,S Nadeem,107,Sunrisers Hyderabad
8917,MM Ali,102,Chennai Super Kings
481896,Mohammed Shami,104,Punjab Kings
325026,GJ Maxwell,100,Royal Challengers Bangalore
326017,S Kaul,107,Sunrisers Hyderabad
30045,KD Karthik,105,Kolkata Knight Riders
642519,SS Iyer,103,Delhi Capitals
670025,SO Hetmyer,103,Delhi Capitals
5961,MC Henriques,104,Punjab Kings
232359,C Munro,103,Delhi Capitals
489889,PJ Cummins,105,Kolkata Knight Riders
457249,CR Brathwaite,105,Kolkata Knight Riders
694211,Avesh Khan,103,Delhi Capitals
477021,V Shankar,107,Sunrisers Hyderabad
279810,WP Saha,107,Sunrisers Hyderabad
28235,S Dhawan,103,Delhi Capitals
542023,L Ngidi,102,Chennai Super Kings
502714,MJ Santner,102,Chennai Super Kings
5334,AJ Finch,104,Punjab Kings
439952,CH Morris,106,Rajasthan Royals
33335,SK Raina,102,Chennai Super Kings
33141,AT Rayudu,102,Chennai Super Kings
1070183,Abhishek Sharma,107,Sunrisers Hyderabad
30288,KV Sharma,102,Chennai Super Kings
290716,KM Jadhav,102,Chennai Super Kings
234675,RA Jadeja,102,Chennai Super Kings
391485,JO Holder,107,Sunrisers Hyderabad
379504,A Zampa,100,Royal Challengers Bangalore
31107,A Mishra,103,Delhi Capitals
719715,Washington Sundar,100,Royal Challengers Bangalore
379143,Q de Kock,101,Mumbai Indians
288284,JR Hazlewood,102,Chennai Super Kings
311158,BA Stokes,106,Rajasthan Royals
267192,SPD Smith,103,Delhi Capitals
277916,AM Rahane,103,Delhi Capitals
277912,TA Boult,101,Mumbai Indians
1064812,RD Chahar,101,Mumbai Indians
446763,RA Tripathi,105,Kolkata Knight Riders
261354,NM Coulter-Nile,101,Mumbai Indians
493773,LH Ferguson,105,Kolkata Knight Riders
528067,M Ashwin,104,Punjab Kings
1060380,RD Gaikwad,102,Chennai Super Kings
390484,JD Unadkat,106,Rajasthan Royals
35390,SS Tiwary,101,Mumbai Indians
398438,MA Agarwal,104,Punjab Kings
662973,SM Curran,102,Chennai Super Kings
272450,MR Marsh,107,Sunrisers Hyderabad
51439,DJ Bravo,102,Chennai Super Kings
475281,SN Thakur,102,Chennai Super Kings
1083030,KM Asif,102,Chennai Super Kings
40618,Imran Tahir,102,Chennai Super Kings
44828,F du Plessis,102,Chennai Super Kings
232364,TG Southee,100,Royal Challengers Bangalore
28081,MS Dhoni,102,Chennai Super Kings
447261,DL Chahar,102,Chennai Super Kings
44936,AB de Villiers,100,Royal Challengers Bangalore
26421,R Ashwin,103,Delhi Capitals
495551,SS Cottrell,104,Punjab Kings
